Assigned IP,Hostname,MAC Address,Description,DHCP Range,Static Range
192.168.1.116,Unknown,06:01:E5:C2:0F:0E,,,
192.168.1.117,,,,,
192.168.1.118,,,,,
192.168.1.119,KC200,50:D4:F7:8D:73:E0,,,
192.168.1.120,Unknown,86:D9:FF:0B:57:05,,,
192.168.1.121,,,,,
192.168.1.122,,,,,
192.168.1.123,Unknown,AC:04:0B:76:D4:F3,Peloton Treadmill,,
192.168.1.124,,,,,
192.168.1.125,,,,,
192.168.1.126,,,,,
192.168.1.127,,,,,
192.168.1.128,,,,,
192.168.1.129,,,,,
192.168.1.130,,,,,
192.168.1.131,,,,,
192.168.1.132,,,,,
192.168.1.133,,,,,
192.168.1.134,,,,,
192.168.1.135,,,,,
192.168.1.136,,,,,
192.168.1.137,,,,,
192.168.1.138,,,,,
192.168.1.139,,,,,
192.168.1.140,,,,,
192.168.1.141,,,,,
192.168.1.142,,,,,
192.168.1.143,,,,,
192.168.1.144,,,,,
192.168.1.145,,,,,
192.168.1.146,,,,,
192.168.1.147,,,,,
192.168.1.148,,,,,
192.168.1.149,,,,,
192.168.1.150,,,,,
192.168.1.151,,,,,
192.168.1.152,,,,,
192.168.1.153,,,,,
192.168.1.154,,,,,
192.168.1.155,,,,,
192.168.1.156,,,,,
192.168.1.157,,,,,
192.168.1.158,,,,,
192.168.1.159,,,,,
192.168.1.160,,,,,
192.168.1.161,,,,,
192.168.1.162,,,,,
192.168.1.163,,,,,
192.168.1.164,,,,,
192.168.1.165,,,,,
192.168.1.166,,,,,
192.168.1.167,,,,,
192.168.1.168,,,,,
192.168.1.169,,,,,
192.168.1.170,,,,,
192.168.1.171,,,,,
192.168.1.172,,,,,
192.168.1.173,,,,,
192.168.1.174,,,,,
192.168.1.175,,,,,
192.168.1.176,,,,,
192.168.1.177,,,,,
192.168.1.178,,,,,
192.168.1.179,,,,,
192.168.1.180,,,,,
192.168.1.181,,,,,
192.168.1.182,,,,,
192.168.1.183,,,,,
192.168.1.184,,,,,
192.168.1.185,,,,,
192.168.1.186,,,,,
192.168.1.187,,,,,
192.168.1.188,,,,,
192.168.1.189,,,,,
192.168.1.190,,,,,
192.168.1.191,,,,,
192.168.1.192,,,,,
192.168.1.193,,,,,
192.168.1.194,,,,,
192.168.1.195,,,,,
192.168.1.196,,,,,
192.168.1.197,,,,,
192.168.1.198,,,,,
192.168.1.199,,,,,
-------------------,-------------------,-------------------,-------------------,,
192.168.1.200,briarBox,54:8C:A0:E8:E2:69,Wireless interface,,
192.168.1.201,bunnellCAD,AC:E0:10:0F:C0:05,Wireless interface,,
192.168.1.202,,,,,
192.168.1.203,,,"HP T620, hostname unknown",,
192.168.1.204,,,,,
192.168.1.205,,,,,
192.168.1.206,,,,,
192.168.1.207,,,,,
192.168.1.208,,,,,
192.168.1.209,,,,,
192.168.1.210,briarAnt,3c:ec:ef:07:84:05,IPMS interface,,
192.168.1.211,briarAnt,3C:EC:EF:02:E9:F0,Interface br0,,
192.168.1.212,briarAnt,3C:EC:EF:02:E9:F1,Interface br1,,
192.168.1.213,briarAnt,3C:EC:EF:02:E9:F2,Interface br2,,
192.168.1.214,briarAnt,3C:EC:EF:02:E9:F3,Interface br3,,
192.168.1.215,embDev,52:54:00:af:91:db,Bridged interface for antlet to LAN over br0,,
192.168.1.216,rustDev,future,Bridged interface for antlet to LAN over br1,,
192.168.1.217,picoDev,52:54:00:b0:8f:b5,Bridged interface for antlet to LAN over br2,,
192.168.1.218,linuxSysDev,future,Bridged interface for antlet to LAN over br3,,
192.168.1.219,KiCAD-VM,52:54:00:65:90:c3,Bridged interface for antlet to LAN over br0,,
192.168.1.220,RESERVED,future,Reserved for future antlet VM bridged to LAN,,
192.168.1.221,RESERVED,future,Reserved for future antlet VM bridged to LAN,,
192.168.1.222,RESERVED,future,Reserved for future antlet VM bridged to LAN,,
192.168.1.223,RESERVED,future,Reserved for future antlet VM bridged to LAN,,
192.168.1.224,RESERVED,future,Reserved for future antlet VM bridged to LAN,,
192.168.1.225,RESERVED,future,Reserved for future antlet VM bridged to LAN,,
192.168.1.226,RESERVED,future,Reserved for future antlet VM bridged to LAN,,
192.168.1.227,RESERVED,future,Reserved for future antlet VM bridged to LAN,,
192.168.1.228,RESERVED,future,Reserved for future antlet VM bridged to LAN,,
192.168.1.229,RESERVED,future,Reserved for future antlet VM bridged to LAN,,
192.168.1.230,reserve for antsleNano1,future,Interface eth0,,
192.168.1.231,RESERVED,future,Reserved for future antlet VM bridged to LAN,,
192.168.1.232,RESERVED,future,Reserved for future antlet VM bridged to LAN,,
192.168.1.233,RESERVED,future,Reserved for future antlet VM bridged to LAN,,
192.168.1.234,RESERVED,future,Reserved for future antlet VM bridged to LAN,,
192.168.1.235,RESERVED,future,Reserved for future antlet VM bridged to LAN,,
192.168.1.236,RESERVED,future,Reserved for future antlet VM bridged to LAN,,
192.168.1.237,RESERVED,future,Reserved for future antlet VM bridged to LAN,,
192.168.1.238,RESERVED,future,Reserved for future antlet VM bridged to LAN,,
192.168.1.239,RESERVED,future,Reserved for future antlet VM bridged to LAN,,
192.168.1.240,reserve for antsleNano2,future,Interface eth0,,
192.168.1.241,,,,,
192.168.1.242,,,,,
192.168.1.243,,,,,
192.168.1.244,,,,,
192.168.1.245,,,,,
192.168.1.246,,,,,
192.168.1.247,,,,,
192.168.1.248,,,,,
192.168.1.249,,,,,
192.168.1.250,rpiDev,DC:A6:32:43:A8:E5,eth0 interface,,
192.168.1.251,rpiDev,dc:a6:32:43:a8:ec,wlan0 interface,,
192.168.1.252,rpiDev,98:48:27:e5:19:dc,wlan1 bridged interface - TP-Link adapter as AP,,
192.168.1.253,,,,,
192.168.1.254,,,,,
192.168.1.255,,,,,
In use:,54,Free:,200,,
